충전_일시,충전소_ID,충전기_ID,시도_코드,시군구_코드,시도_명,시군구_명,충전소_명,위도,경도,충전_구분,충전_방식,시작_일시,종료_일시,시작_SOC,종료_SOC,SOC_충전_량,전력_사용량,충전_시간,전력_사용량_(경부하),전력_사용량_(중간부하),전력_사용량_(최대부하),비고,생산_일시
2023-02-23 02:33:01,KRPPKCS0008,KRPPKCP0497,41,190,경기도,부천시,**** *** *****,37,126,13,D,2023-02-23 01:05:57,2023-02-23 02:59:53,31,99,81,196,0,196,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:02,KRPPKCS0008,KRPPKCP0062,41,190,경기도,부천시,**** *** *****,37,126,13,D,2023-02-23 00:53:56,2023-02-23 03:07:49,20,99,78,229,0,229,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:02,KRPPKCS0102,KRPPKCP0739,28,158,인천광역시,연수구,***** ***,37,126,13,D,2023-02-23 00:55:58,2023-02-23 03:43:42,16,100,74,259,0,259,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:02,KRPPKCS0092,KRPPKCP0678,41,113,경기도,수원시,**** ******,37,126,13,D,2023-02-23 00:50:56,2023-02-23 03:06:01,17,94,75,190,0,190,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:02,KRPPKCS0008,KRPPKCP0050,41,190,경기도,부천시,**** *** *****,37,126,13,D,2023-02-23 00:57:56,2023-02-23 02:49:37,48,99,93,139,0,139,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:03,KRPPKCS0008,KRPPKCP0045,41,190,경기도,부천시,**** *** *****,37,126,13,D,2023-02-23 02:12:28,2023-02-23 03:01:06,66,89,72,78,0,78,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:03,KRPPKCS0028,KRPPKCP0552,28,185,인천광역시,연수구,**** ******* ,37,126,13,D,2023-02-23 00:30:20,2023-02-23 03:37:47,57,100,86,173,0,173,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:04,KRPPKCS0087,KRPPKCP0651,41,150,경기도,의정부시,*******,37,127,13,D,2023-02-23 01:37:02,2023-02-23 02:48:07,67,100,91,108,0,108,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:05,KRPPKCS0028,KRPPKCP0552,28,185,인천광역시,연수구,**** ******* ,37,126,13,D,2023-02-23 00:13:39,2023-02-23 04:02:15,44,100,78,211,0,211,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:05,KRPPKCS0092,KRPPKCP0673,41,113,경기도,수원시,**** ******,37,126,13,D,2023-02-23 00:18:57,2023-02-23 03:28:08,22,94,73,240,0,240,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:06,KRPPKCS0014,KRPPKCP0103,11,410,서울특별시,서대문구,**** ***,37,126,13,D,2023-02-23 00:21:54,2023-02-23 03:30:04,27,100,77,170,0,170,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:10,KRPPKCS0012,KRPPKCP0093,41,171,경기도,안양시,******* *****,37,126,13,D,2023-02-23 01:44:08,2023-02-23 03:05:06,46,100,79,147,0,147,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:10,KRPPKCS0084,KRPPKCP0637,41,590,경기도,화성시,*******,37,126,13,D,2023-02-23 00:43:06,2023-02-23 02:44:55,46,100,93,184,0,184,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:11,KRPPKCS0020,KRPPKCP0155,41,210,경기도,광명시,**** *****,37,126,13,D,2023-02-23 01:45:10,2023-02-23 03:05:24,57,98,79,121,0,121,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:12,KRPPKCS0072,KRPPKCP0586,41,570,경기도,김포시,**** *****,37,126,13,D,2023-02-23 01:56:11,2023-02-23 02:37:09,71,99,99,45,0,45,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:13,KRPPKCS0090,KRPPKCP0665,41,450,경기도,하남시,*******,37,127,13,D,2023-02-23 00:56:13,2023-02-23 03:11:20,42,100,83,205,0,205,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:13,KRPPKCS0084,KRPPKCP0641,41,590,경기도,화성시,*******,37,126,13,D,2023-02-23 01:49:11,2023-02-23 04:01:25,42,100,60,200,0,200,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:16,KRPPKCS0039,KRPPKCP0233,26,410,부산광역시,금정구,**** ***********,35,129,13,D,2023-02-23 01:41:14,2023-02-23 03:06:15,51,100,79,147,0,147,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:17,KRPPKCS0064,KRPPKCP0459,41,117,경기도,수원시,**** ***,37,127,13,D,2023-02-23 01:23:13,2023-02-23 03:02:21,13,94,71,143,0,143,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:18,KRPPKCS0002,KRPPKCP0012,41,173,경기도,안양시,**** ** *** ***,37,126,13,D,2023-02-23 01:01:14,2023-02-23 02:41:50,48,100,98,145,0,145,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:19,KRPPKCS0070,KRPPKCP0561,41,210,경기도,광명시,**** ******,37,126,13,D,2023-02-23 01:39:17,2023-02-23 03:41:09,28,100,63,186,0,186,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:19,KRPPKCS0070,KRPPKCP0855,41,210,경기도,광명시,**** ******,37,126,13,D,2023-02-23 01:39:17,2023-02-23 03:41:09,28,100,63,186,0,186,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:22,KRPPKCS0053,KRPPKCP0341,48,125,경상남도,창원시,**** *******,35,128,13,D,2023-02-23 01:21:49,2023-02-23 02:53:24,42,99,88,149,0,149,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:22,KRPPKCS0062,KRPPKCP0568,41,190,경기도,부천시,**** ***,37,126,13,D,2023-02-23 01:33:20,2023-02-23 03:50:26,20,100,53,232,0,232,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:23,KRPPKCS0020,KRPPKCP0153,41,210,경기도,광명시,**** *****,37,126,13,D,2023-02-23 01:01:19,2023-02-23 02:49:46,44,98,88,175,0,175,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:23,KRPPKCS0021,KRPPKCP0158,41,390,경기도,시흥시,**** *****,37,126,13,D,2023-02-23 02:09:24,2023-02-23 02:48:35,72,97,87,56,0,56,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:23,KRPPKCS0008,KRPPKCP0060,41,190,경기도,부천시,**** *** *****,37,126,13,D,2023-02-23 01:59:22,2023-02-23 03:44:31,15,77,33,177,0,177,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:23,KRPPKCS0008,KRPPKCP0062,41,190,경기도,부천시,**** *** *****,37,126,13,D,2023-02-23 01:37:20,2023-02-23 03:36:00,27,99,59,204,0,204,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:24,KRPPKCS0028,KRPPKCP0195,28,185,인천광역시,연수구,**** ******* ,37,126,13,D,2023-02-23 01:11:20,2023-02-23 04:20:11,33,100,59,197,0,197,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:24,KRPPKCS0014,KRPPKCP0101,11,410,서울특별시,서대문구,**** ***,37,126,13,D,2023-02-23 00:27:16,2023-02-23 03:35:18,25,100,75,256,0,256,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:24,KRPPKCS0012,KRPPKCP0093,41,171,경기도,안양시,******* *****,37,126,13,D,2023-02-23 00:50:18,2023-02-23 02:40:26,30,100,96,121,0,121,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:25,KRPPKCS0064,KRPPKCP0466,41,117,경기도,수원시,**** ***,37,127,13,D,2023-02-23 01:48:23,2023-02-23 03:19:28,12,94,53,131,0,131,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:26,KRPPKCS0069,KRPPKCP0529,41,171,경기도,안양시,******* ******,37,126,13,D,2023-02-23 01:34:24,2023-02-23 02:48:58,53,100,90,128,0,128,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:26,KRPPKCS0062,KRPPKCP0569,41,190,경기도,부천시,**** ***,37,126,13,D,2023-02-23 01:38:24,2023-02-23 03:26:24,35,100,66,185,0,185,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:27,KRPPKCS0028,KRPPKCP0557,28,185,인천광역시,연수구,**** ******* ,37,126,13,D,2023-02-23 00:00:18,2023-02-23 02:53:27,58,100,94,160,0,160,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:27,KRPPKCS0064,KRPPKCP0468,41,117,경기도,수원시,**** ***,37,127,13,D,2023-02-23 01:26:25,2023-02-23 03:34:06,29,94,65,167,0,167,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:28,KRPPKCS0070,KRPPKCP0564,41,210,경기도,광명시,**** ******,37,126,13,D,2023-02-23 01:24:25,2023-02-23 03:04:16,40,100,83,158,0,158,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:28,KRPPKCS0064,KRPPKCP0481,41,117,경기도,수원시,**** ***,37,127,13,D,2023-02-23 01:22:25,2023-02-23 03:01:26,46,94,84,125,0,125,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:28,KRPPKCS0070,KRPPKCP0858,41,210,경기도,광명시,**** ******,37,126,13,D,2023-02-23 01:24:25,2023-02-23 03:04:16,40,100,83,158,0,158,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:29,KRPPKCS0064,KRPPKCP0470,41,117,경기도,수원시,**** ***,37,127,13,D,2023-02-23 00:55:24,2023-02-23 03:01:31,28,94,83,163,0,163,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:29,KRPPKCS0102,KRPPKCP0740,28,158,인천광역시,연수구,***** ***,37,126,13,D,2023-02-23 01:59:29,2023-02-23 03:28:19,51,94,71,144,0,144,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:29,KRPPKCS0092,KRPPKCP0680,41,113,경기도,수원시,**** ******,37,126,13,D,2023-02-23 00:32:23,2023-02-23 02:40:00,11,94,90,177,0,177,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:29,KRPPKCS0008,KRPPKCP0048,41,190,경기도,부천시,**** *** *****,37,126,13,D,2023-02-23 02:30:30,2023-02-23 03:24:35,74,99,75,88,0,88,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:31,KRPPKCS0064,KRPPKCP0458,41,117,경기도,수원시,**** ***,37,127,13,D,2023-02-23 01:49:30,2023-02-23 03:25:03,44,94,50,137,0,137,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:31,KRPPKCS0041,KRPPKCP0921,48,330,경상남도,양산시,**** *****,35,129,13,D,2023-02-23 02:18:31,2023-02-23 03:31:30,53,100,60,121,0,121,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:31,KRPPKCS0070,KRPPKCP0564,41,210,경기도,광명시,**** ******,37,126,13,D,2023-02-23 00:49:25,2023-02-23 02:36:23,27,100,98,171,0,171,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:31,KRPPKCS0070,KRPPKCP0858,41,210,경기도,광명시,**** ******,37,126,13,D,2023-02-23 00:49:25,2023-02-23 02:36:23,27,100,98,171,0,171,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:32,KRPPKCS0001,KRPPKCP0008,41,117,경기도,수원시,**** ***** *** ***,37,127,13,D,2023-02-23 00:25:54,2023-02-23 02:35:32,14,95,93,192,0,192,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:32,KRPPKCS0065,KRPPKCP0486,41,570,경기도,김포시,**** *****,37,126,13,D,2023-02-23 01:35:29,2023-02-23 02:52:50,57,100,89,134,0,134,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:32,KRPPKCS0008,KRPPKCP0047,41,190,경기도,부천시,**** *** *****,37,126,13,D,2023-02-23 01:52:30,2023-02-23 02:46:34,72,99,91,95,0,95,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:32,KRPPKCS0064,KRPPKCP0475,41,117,경기도,수원시,**** ***,37,127,13,D,2023-02-23 01:04:28,2023-02-23 03:17:47,26,94,74,172,0,172,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:33,KRPPKCS0092,KRPPKCP0678,41,113,경기도,수원시,**** ******,37,126,13,D,2023-02-23 01:17:28,2023-02-23 03:20:49,15,94,64,171,0,171,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:33,KRPPKCS0065,KRPPKCP0486,41,570,경기도,김포시,**** *****,37,126,13,D,2023-02-23 02:16:33,2023-02-23 03:16:39,67,100,75,107,0,107,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:33,KRPPKCS0112,KRPPKCP0789,41,570,경기도,김포시,**** *****,37,126,13,D,2023-02-23 00:55:29,2023-02-23 02:44:16,55,100,96,163,0,163,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:34,KRPPKCS0090,KRPPKCP0662,41,450,경기도,하남시,*******,37,127,13,D,2023-02-23 02:16:34,2023-02-23 02:58:47,83,100,89,61,0,61,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:34,KRPPKCS0001,KRPPKCP0001,41,117,경기도,수원시,**** ***** *** ***,37,127,13,D,2023-02-23 02:06:33,2023-02-23 03:23:59,23,95,47,104,0,104,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:34,KRPPKCS0001,KRPPKCP0003,41,117,경기도,수원시,**** ***** *** ***,37,127,13,D,2023-02-23 01:10:30,2023-02-23 03:17:08,15,95,65,188,0,188,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:35,KRPPKCS0028,KRPPKCP0559,28,185,인천광역시,연수구,**** ******* ,37,126,13,D,2023-02-23 00:45:30,2023-02-23 02:33:39,50,97,97,163,0,163,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:37,KRPPKCS0012,KRPPKCP0090,41,171,경기도,안양시,******* *****,37,126,13,D,2023-02-23 01:10:34,2023-02-23 02:44:07,53,100,97,126,0,126,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:37,KRPPKCS0008,KRPPKCP0059,41,190,경기도,부천시,**** *** *****,37,126,13,D,2023-02-23 02:22:37,2023-02-23 03:15:30,62,86,66,85,0,85,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:38,KRPPKCS0072,KRPPKCP0586,41,570,경기도,김포시,**** *****,37,126,13,D,2023-02-23 01:56:37,2023-02-23 02:37:13,71,100,99,44,0,44,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:38,KRPPKCS0099,KRPPKCP0724,41,550,경기도,안성시,**** ***,37,127,13,D,2023-02-23 00:37:32,2023-02-23 02:35:01,30,100,99,201,0,201,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:39,KRPPKCS0008,KRPPKCP0898,41,190,경기도,부천시,**** *** *****,37,126,13,D,2023-02-23 01:42:39,2023-02-23 02:33:44,55,99,98,70,0,70,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-23 02:33:39,KRPPKCS0062,KRPPKCP0570,41,190,경기도,부천시,**** ***,37,126,13,D,2023-02-23 02:16:39,2023-02-23 04:16:47,29,100,38,206,0,206,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
